SITE_NO,node_id,node_lon,node_lat
1131,774545099,144.9583459,-37.8060861
1132,774545099,144.9583459,-37.8060861
1136,774545099,144.9583459,-37.8060861
6831,52452407,144.9367102,-37.8003421
3587,2180345319,144.93711,-37.7740075
2964,3374134102,144.9600834,-37.778076
5135,52452407,144.9367102,-37.8003421
998,774545099,144.9583459,-37.8060861
3755,702452273,144.9420045,-37.8043054
532,774545099,144.9583459,-37.8060861
1140,774545099,144.9583459,-37.8060861
1138,9515157446,144.9607317,-37.7919871
1139,9515157446,144.9607317,-37.7919871
1141,9086096490,144.9506568,-37.8052424
1142,702465424,144.9492306,-37.8050994
3168,774545099,144.9583459,-37.8060861
1196,774545099,144.9583459,-37.8060861
884,774545099,144.9583459,-37.8060861
939,774545099,144.9583459,-37.8060861
4831,774545099,144.9583459,-37.8060861
4859,774545099,144.9583459,-37.8060861
4862,774545099,144.9583459,-37.8060861
4876,702465424,144.9492306,-37.8050994
4877,702451456,144.9460673,-37.8047509
4889,774545099,144.9583459,-37.8060861
4900,9086096443,144.953764,-37.805582
4913,774545099,144.9583459,-37.8060861
4916,774545099,144.9583459,-37.8060861
4957,6646643418,144.936422,-37.7934532
4960,2180345319,144.93711,-37.7740075
4971,2180345319,144.93711,-37.7740075
4999,3374134102,144.9600834,-37.778076
5052,52452407,144.9367102,-37.8003421
5363,52452407,144.9367102,-37.8003421
538,774545099,144.9583459,-37.8060861
100,774545099,144.9583459,-37.8060861
3045,774545099,144.9583459,-37.8060861
1068,702451456,144.9460673,-37.8047509
2499,6646643418,144.936422,-37.7934532
6102,3374134102,144.9600834,-37.778076
2929,774545099,144.9583459,-37.8060861
2982,774545099,144.9583459,-37.8060861
3114,3374134102,144.9600834,-37.778076
3120,774545099,144.9583459,-37.8060861
3174,774545099,144.9583459,-37.8060861
3196,774545099,144.9583459,-37.8060861
3202,774545099,144.9583459,-37.8060861
3439,774545099,144.9583459,-37.8060861
3483,52452407,144.9367102,-37.8003421
3513,2180345319,144.93711,-37.7740075
3538,774545099,144.9583459,-37.8060861
3564,774545099,144.9583459,-37.8060861
3591,2180345319,144.93711,-37.7740075
3616,2180345319,144.93711,-37.7740075
3630,774545099,144.9583459,-37.8060861
3734,3374134102,144.9600834,-37.778076
3781,2180345319,144.93711,-37.7740075
496,774545099,144.9583459,-37.8060861
2591,2180345319,144.93711,-37.7740075
3384,774545099,144.9583459,-37.8060861
3383,774545099,144.9583459,-37.8060861
3794,3374134100,144.9586073,-37.7778481
3623,9515157446,144.9607317,-37.7919871
137,9515157446,144.9607317,-37.7919871
173,774545099,144.9583459,-37.8060861
182,774545099,144.9583459,-37.8060861
197,774545099,144.9583459,-37.8060861
6311,2180345319,144.93711,-37.7740075
5076,52452407,144.9367102,-37.8003421
